City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Manubul,PH,83.37,scattered clouds,5.4732,120.7986,
464,Ingham,US,76.75,scattered clouds,42.6,-84.3833,Sunset Place
467,Makakilo City,US,77.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
474,Nowy Dwor Mazowiecki,PL,73.69,clear sky,52.4302,20.7165,Hotel Royal Modlin
476,Nara,JP,70.92,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
480,Hobyo,SO,79.21,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
482,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
484,Vitoria Da Conquista,BR,79.61,few clouds,-14.8661,-40.8394,Hotel Universo
485,Samana,DO,84.42,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
490,Dixon,US,79.32,clear sky,38.4455,-121.8233,Best Western Plus Dixon Davis
494,Buala,SB,78.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
495,Myrtle Beach,US,81.09,overcast clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
498,Bossier City,US,78.98,scattered clouds,32.516,-93.7321,Horseshoe Bossier City
499,Pacific Grove,US,73.81,haze,36.6177,-121.9166,Lovers Point Inn
502,Wolow,PL,73.51,clear sky,51.3366,16.6443,LUNA noclegi
503,Cascavelle,MU,74.16,clear sky,-20.2869,57.4072,Hilton Mauritius Resort & Spa
504,Sioux Lookout,CA,73.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
506,Mao,ES,70.36,broken clouds,39.8885,4.2658,ARTIEM Capri
509,Kanniyakumari,IN,81.99,overcast clouds,8.0833,77.5667,Sparsa
510,Seabra,BR,80.33,few clouds,-12.4186,-41.7703,Cambuí Hotel
511,Dingle,PH,77.18,light rain,10.9995,122.6711,SEGAYA PROPERTY
512,Sigmaringen,DE,76.42,broken clouds,48.0833,9.2167,Jägerhof
514,Alakurtti,RU,73.63,broken clouds,66.9672,30.3491,Agroturystyka Gientosław
516,Manokwari,ID,78.04,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
517,Barcelona,ES,79.34,broken clouds,41.3888,2.159,Axel Hotel Barcelona
522,Mocoa,CO,79.75,broken clouds,1.1493,-76.6466,selvamorena
524,Porto Walter,BR,83.05,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
526,Palmer,US,72.21,overcast clouds,42.1584,-72.3287,Wedgewood Motel
527,Vung Tau,VN,83.89,broken clouds,10.346,107.0843,Green hotel
529,Altay,CN,72.05,scattered clouds,47.8667,88.1167,Jinqiao Hotel
531,Faya,SA,82.51,clear sky,18.3851,42.4509,مقبرة ال مجمل
537,Nargana,PA,83.68,overcast clouds,9.4428,-78.5906,Dubbir
538,Lufilufi,WS,73.18,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
539,Mananara,MG,70.7,light rain,-16.1667,49.7667,Chez Roger
540,Vanimo,PG,77.38,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
544,Camacari,BR,82.17,broken clouds,-12.6975,-38.3242,Hotel Cambuci
545,Tukrah,LY,72.77,clear sky,32.5341,20.5791,Lokta restaurant
546,Antofagasta,CL,70.21,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
548,Siilinjarvi,FI,71.62,clear sky,63.0833,27.6667,Hotelli Sandels Oy
553,Longhua,CN,78.35,overcast clouds,23.6137,114.1919,Huadu Hotel
561,Adamas,GR,72.82,clear sky,36.7333,24.4333,Aphrodite of Milos
562,Ismailia,EG,78.87,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
563,Hof,DE,77.92,clear sky,50.3167,11.9167,Hotel Burghof
565,Pasni,PK,84.65,clear sky,25.2631,63.471,Kashmiri Hotal
