City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Katherine,AU,-14.4667,132.2667,79.12,57,40,7.49,scattered clouds
250,Catamarca,AR,-28.4696,-65.7852,78.58,59,0,1.99,clear sky
251,Kovdor,RU,67.5662,30.4758,71.17,31,61,10.94,broken clouds
252,Mar Del Plata,AR,-38.0023,-57.5575,52.12,56,0,1.99,light rain
253,Rocha,UY,-34.4833,-54.3333,58.75,52,52,9.91,broken clouds
254,Tazovskiy,RU,67.4667,78.7,31.78,91,57,11.61,broken clouds
255,Quelimane,MZ,-17.8786,36.8883,69.75,94,75,6.91,light rain
256,Kruisfontein,ZA,-34.0033,24.7314,50.88,67,14,4.59,few clouds
257,Bemidji,US,47.4736,-94.8803,80.89,49,40,11.5,scattered clouds
258,Praia,CV,14.9215,-23.5087,81.14,57,40,21.85,scattered clouds
259,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,40,18.25,light rain
260,Biak,ID,-0.9131,122.8766,76.87,86,95,5.91,overcast clouds
261,Khani,GE,41.9563,42.9566,62.17,94,20,1.07,few clouds
262,Roanoke Rapids,US,36.4615,-77.6542,82.45,83,75,12.26,broken clouds
263,Porto Tolle,IT,44.9497,12.3245,85.08,63,35,8.39,scattered clouds
264,Port Macquarie,AU,-31.4333,152.9167,51.76,100,11,0.0,few clouds
265,Takapau,NZ,-40.0333,176.35,47.44,91,0,2.91,clear sky
266,Udachnyy,RU,66.4167,112.4,56.79,67,100,12.68,overcast clouds
267,Bundaberg,AU,-24.85,152.35,64.69,94,90,5.75,overcast clouds
268,Warrnambool,AU,-38.3833,142.4833,50.81,79,100,18.43,overcast clouds
269,Begowal,IN,31.6167,75.5167,78.78,33,9,3.4,clear sky
270,Cidreira,BR,-30.1811,-50.2056,66.02,60,3,5.14,clear sky
271,Takoradi,GH,4.8845,-1.7554,83.68,73,49,11.52,scattered clouds
272,Ust-Nera,RU,64.5667,143.2,48.0,48,8,2.28,clear sky
273,Severnyy,RU,50.677,36.5532,64.44,45,0,11.18,light rain
274,Akyab,MM,20.15,92.9,84.34,80,65,8.77,broken clouds
275,Den Helder,NL,52.9599,4.7593,74.98,83,43,13.0,haze
276,Acapulco,MX,16.8634,-99.8901,85.82,70,75,3.24,broken clouds
277,Civitanova Marche,IT,43.307,13.7206,80.85,54,8,5.53,clear sky
278,Tarsus,TR,36.9188,34.8784,75.58,68,3,6.6,clear sky
279,Ilo,PE,-17.6394,-71.3375,65.26,72,90,0.0,overcast clouds
280,Mokrousovo,RU,55.8103,66.7653,52.45,88,100,7.38,overcast clouds
281,Mandalgovi,MN,45.7625,106.2708,55.31,43,0,8.79,clear sky
282,Umba,RU,66.6871,34.3429,60.35,58,37,7.2,scattered clouds
283,Wajir,KE,1.7471,40.0573,86.83,38,99,8.46,overcast clouds
284,Clyde River,CA,70.4692,-68.5914,28.63,93,90,13.8,overcast clouds
285,Mazagao,BR,-0.115,-51.2894,87.85,57,7,5.12,heavy intensity rain
286,Alta,NO,69.9689,23.2717,76.24,42,0,8.05,clear sky
287,Shingu,JP,33.7333,135.9833,72.91,97,100,9.44,light rain
288,Asfi,MA,32.2994,-9.2372,67.3,72,75,19.37,broken clouds
289,Asau,RO,46.4333,26.4,61.72,81,100,4.47,overcast clouds
290,Deputatskiy,RU,69.3,139.9,55.92,54,100,4.14,overcast clouds
291,Bubaque,GW,11.2833,-15.8333,79.12,73,99,13.22,overcast clouds
292,Ajdabiya,LY,30.7554,20.2263,91.47,23,1,7.2,clear sky
293,Corpus Christi,US,27.8006,-97.3964,82.42,80,90,3.0,overcast clouds
294,Yambio,SS,4.5721,28.3955,71.64,84,100,4.54,overcast clouds
295,Belmonte,BR,-15.8631,-38.8828,82.9,64,15,8.14,few clouds
296,General Roca,AR,-39.0333,-67.5833,61.2,36,84,29.91,broken clouds
297,Itarema,BR,-2.9248,-39.9167,86.58,56,1,15.39,clear sky
298,Hasaki,JP,35.7333,140.8333,68.4,80,100,19.69,overcast clouds
299,Kloulklubed,PW,7.0419,134.2556,77.5,74,23,6.89,few clouds
300,Lovozero,RU,68.005,35.0117,73.17,36,21,12.57,few clouds
301,Trairi,BR,-3.2778,-39.2689,86.54,54,0,11.3,clear sky
302,Codrington,AU,-38.2667,141.9667,53.71,70,100,21.81,overcast clouds
303,Kristinehamn,SE,59.3098,14.1081,73.38,44,35,2.44,scattered clouds
304,Lagos,NG,6.5833,3.75,88.12,71,21,8.75,few clouds
305,Paamiut,GL,61.994,-49.6678,35.91,72,100,7.7,overcast clouds
306,Yakeshi,CN,49.2833,120.7333,46.6,90,97,6.26,light rain
307,Mayna,RU,54.1135,47.6231,54.59,63,41,15.19,scattered clouds
308,Yanam,IN,16.7333,82.2167,83.86,78,44,4.34,scattered clouds
309,Amurzet,RU,47.6967,131.0981,52.77,96,100,9.95,overcast clouds
310,Port Hardy,CA,50.6996,-127.4199,51.98,87,90,6.91,overcast clouds
311,Fort Nelson,CA,58.8053,-122.7002,67.59,37,20,6.91,few clouds
312,Hervey Bay,AU,-25.2986,152.8535,65.01,91,100,4.0,overcast clouds
313,Longyearbyen,SJ,78.2186,15.6401,35.44,80,20,11.5,few clouds
